,genres
203,"[16, 12, 35, 10751]"
204,"[28, 16, 14]"
205,"[12, 16, 35, 10751]"
206,"[10751, 16, 14]"
207,"[16, 35, 10751, 12]"
208,"[16, 10751]"
209,"[16, 35, 10751]"
210,"[12, 16, 10751]"
211,"[16, 10751, 12, 35, 14]"
212,"[16, 10751]"
213,"[16, 10751, 12, 35]"
214,"[35, 14, 10751, 10402, 16]"
215,"[16, 10751, 35]"
216,"[16, 12, 35, 10751]"
217,"[12, 14, 16]"
218,"[16, 18]"
219,"[12, 16, 18, 10751]"
220,"[16, 10751, 12, 14]"
221,"[16, 35, 12, 10751]"
222,"[16, 10751]"
223,"[16, 10751, 12, 14, 35]"
224,"[12, 16, 35, 10751, 14]"
225,"[16, 878]"
226,"[16, 10751]"
227,"[28, 12, 18, 14, 16]"
228,"[16, 10751]"
229,"[16, 10751, 12, 878]"
230,"[12, 16, 10751, 14, 878]"
231,"[28, 16, 14, 12]"
232,"[16, 10751, 12, 35]"
233,"[16, 10749, 18]"
234,"[16, 28, 12]"
235,"[10751, 18, 16, 10752, 36, 10749]"
236,"[16, 10751, 12]"
237,"[16, 10751, 14, 12]"
238,"[12, 16, 28, 14]"
239,"[16, 12, 10751]"
240,"[16, 10751, 12, 878]"
241,"[12, 16, 35, 10751]"
242,"[12, 16, 35, 10751]"
243,"[16, 10751]"
244,"[10749, 16, 35]"
245,"[16, 28]"
246,"[10751, 16, 10402]"
247,"[16, 18, 10749]"
248,"[16, 878, 28, 18]"
249,"[28, 16, 878]"
250,"[10751, 16]"
251,"[16, 35, 12, 10751]"
252,"[28, 16, 35]"
253,"[16, 28, 14]"
254,"[16, 18]"
255,"[10751, 35, 16, 12]"
256,"[16, 35, 10751]"
257,"[53, 16, 28, 80]"
258,"[12, 16, 14]"
259,"[14, 16, 18, 878]"
260,"[16, 12, 18, 14, 878]"
261,"[16, 35, 27]"
262,"[16, 10751]"
263,"[28, 16, 878, 80]"
264,"[16, 14, 27, 28]"
265,"[28, 16, 878]"
266,"[16, 35, 12, 10751]"
267,"[14, 16]"
268,"[16, 35, 10751, 9648]"
269,"[16, 10749]"
270,"[16, 10749, 878, 35]"
271,"[12, 16, 14]"
272,"[80, 18, 35]"
273,"[16, 35, 10751]"
274,"[18, 35, 10749]"
275,"[10751, 16, 35, 12]"
276,[35]
277,"[35, 14]"
278,"[16, 12, 10751, 14, 35, 28]"
279,"[16, 10751, 35]"
280,[35]
281,"[35, 10749]"
282,"[35, 10749]"
283,"[12, 35, 878]"
284,[35]
285,"[12, 16, 35, 10751]"
286,"[18, 35]"
